Body,Department,Priority,Tags
Requesting assistance the keyboard I ordered arrived damaged and I need a replacement,Returns and Exchanges,Medium,exchange product
Requesting assistance i need pricing for adding more seats to our premium subscription,Sales and Pre-Sales,Medium,bulk purchase
I have a question regarding my wellness program enrollment,Human Resources,High,onboarding paperwork
Requesting assistance requesting an exchange for the webcam due to it being missing components,Returns and Exchanges,High,replacement request
The Teams on my office PC will not open after the Office 365 update,Technical Support,High,laptop hardware
Please help my subscription renewal shows an unexpected line item,Billing and Payments,Low,statement billing
Reporting an issue there is a discrepancy in the unit price on my account statement,Billing and Payments,High,purchase order
Please help i need to change my marital status following my relocation,Human Resources,Medium,enrollment benefits
Requesting assistance why does my invoice show a subscription fee higher than expected,Billing and Payments,Medium,payment failed
FYI there is a connection error appearing when I access the mail server,Technical Support,High,printer issue
FYI my authentication token is not working for Active Directory,Technical Support,High,vpn network
Quick question my expense claim was not included in this month's payment,Human Resources,Low,hr portal
Following up the Exchange on my notebook will not open after the Windows update,Technical Support,Medium,password login
For your attention there is a runtime error appearing when I access the cloud server,Technical Support,Critical,outlook email
Reporting an issue the laptop will not power on even after restarting it,Technical Support,High,software install
Requesting assistance i would like a quote for one hundred units of your storage plan,Sales and Pre-Sales,Medium,sales inquiry
Good morning i want to send back the external drive and receive store credit,Returns and Exchanges,Low,store credit
Urgent we need a scalable security solution solution for several users,Sales and Pre-Sales,Medium,product demo
Quick question please process a return label for the webcam I purchased,Returns and Exchanges,Low,damaged item
FYI can you explain the difference between your enterprise tiers,Sales and Pre-Sales,Low,sales inquiry
FYI the account statement shows a late fee that I do not recognize,Billing and Payments,Medium,overcharge dispute
Hi team the router I ordered arrived broken and I need a replacement,Returns and Exchanges,Low,defective hardware
Need support my docking station cannot detect the scanner anymore,Technical Support,High,active directory
Kindly assist i would like to review my retirement plan options for next year,Human Resources,Medium,hr portal
Reporting an issue i want to discuss a bulk purchase of fifty analytics tool licenses,Sales and Pre-Sales,Medium,trial evaluation
Hello the company intranet is extremely slow when I try to online meetings,Technical Support,High,printer issue
Please help what are the licensing options for the cloud platform,Sales and Pre-Sales,Medium,quote pricing
Please help what are the licensing options for the collaboration suite,Sales and Pre-Sales,Medium,bulk purchase
Please help the office chair arrived late and is no longer needed,Returns and Exchanges,High,replacement request
Urgent i have not received the invoice for last month's software license,Billing and Payments,High,statement billing
Kindly assist i need access to my pay stub through the employee portal,Human Resources,Medium,enrollment benefits
Please help requesting installation of Exchange on my work notebook,Technical Support,Medium,printer issue
For your attention i want to exchange the scanner for a different model,Returns and Exchanges,High,defective hardware
